latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
31.66058,6.05602,298.93,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.13,1.95,N
31.66118,6.0515,317.38,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,282.15,2.38,N
31.66345,6.0612,327.57,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,282.49,1.95,N
31.66406,6.05667,338.7,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,283.17,1.95,N
31.66467,6.05215,351.92,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,286.61,2.38,N
31.66528,6.04763,296.43,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.97,2.38,N
31.68641,5.80778,296.29,0.44,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,279.17,0.55,N
31.70547,5.96182,309.16,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,278.77,0.39,N
31.75039,5.22713,315.23,0.46,0.39,2024-12-01,111,N,VIIRS,n,2.0NRT,280.29,1.39,N
31.78098,5.10211,309.02,0.47,0.4,2024-12-01,111,N,VIIRS,n,2.0NRT,279.21,2.24,N
31.78516,6.06258,295.29,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,279.47,0.5,N
31.78804,6.06777,319.02,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.42,1.07,N
31.78865,6.06324,298.91,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,281.34,1.39,N
31.79686,6.05545,298.8,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.56,0.74,N
31.80483,5.99625,305.79,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,281.59,1.17,N
31.84786,6.05318,322.28,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,281.18,1.14,N
31.84846,6.04862,304.48,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.65,1.14,N
31.95923,5.21743,311.74,0.46,0.39,2024-12-01,111,N,VIIRS,n,2.0NRT,280.35,0.93,N
32.13647,6.4697,341.13,0.42,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,282.54,9.05,N
32.27631,3.98974,299.23,0.53,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,280.87,0.88,N
32.27697,3.98409,295.57,0.53,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,280.41,1.04,N
32.32595,15.22089,298.65,0.4,0.44,2024-12-01,111,N,VIIRS,n,2.0NRT,287.35,0.88,N
32.32967,15.24416,305.68,0.4,0.44,2024-12-01,111,N,VIIRS,n,2.0NRT,284.46,0.85,N
32.33235,15.24725,300.48,0.4,0.44,2024-12-01,111,N,VIIRS,n,2.0NRT,287.49,1.58,N
32.33323,15.24308,308.58,0.4,0.44,2024-12-01,111,N,VIIRS,n,2.0NRT,285.95,1.33,N
32.35548,6.97857,315.39,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,285.05,7.94,N
32.356,6.97609,335.83,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,285.42,13.62,N
32.35609,6.97424,316.5,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,280.06,6.89,N
32.36396,14.53064,295.15,0.55,0.43,2024-12-01,111,N,VIIRS,n,2.0NRT,282.93,0.71,N
32.36633,14.53828,298.66,0.55,0.43,2024-12-01,111,N,VIIRS,n,2.0NRT,283.3,1.38,N
32.36665,14.53759,305.29,0.55,0.43,2024-12-01,111,N,VIIRS,n,2.0NRT,283.16,1.4,N
32.3702,14.53934,297.63,0.55,0.43,2024-12-01,111,N,VIIRS,n,2.0NRT,282.96,0.6,N
32.40155,4.00535,307.41,0.53,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,280.27,1.58,N
32.51929,14.32196,297.1,0.54,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,283.74,0.87,N
